filename,primary_label,view,coach_score_0_10,body_rises_early,front_knee_bad,rear_knee_bad,hip_position_bad,first_step_bad,arms_bad,usable_for_training,coach_comment
synth_v12_0000_side_good.mp4,good,side,9.0,0,0,0,0,0,0,yes,synthetic_v12 good
synth_v12_0001_side_body_rises_early.mp4,body_rises_early,side,6.5,1,0,0,0,0,0,yes,synthetic_v12 body_rises_early
synth_v12_0002_side_body_too_low_drive.mp4,body_too_low_drive,side,9.0,0,0,0,0,0,0,yes,synthetic_v12 body_too_low_drive
synth_v12_0003_side_hip_low.mp4,hip_low,side,6.5,0,0,0,1,0,0,yes,synthetic_v12 hip_low
synth_v12_0004_side_hip_high.mp4,hip_high,side,6.5,0,0,0,1,0,0,yes,synthetic_v12 hip_high
synth_v12_0005_side_front_knee_too_closed.mp4,front_knee_too_closed,side,6.2,0,1,0,0,0,0,yes,synthetic_v12 front_knee_too_closed
synth_v12_0006_side_front_knee_too_open.mp4,front_knee_too_open,side,6.2,0,1,0,0,0,0,yes,synthetic_v12 front_knee_too_open
synth_v12_0007_side_rear_knee_too_closed.mp4,rear_knee_too_closed,side,6.2,0,0,1,0,0,0,yes,synthetic_v12 rear_knee_too_closed
synth_v12_0008_side_rear_knee_too_open.mp4,rear_knee_too_open,side,6.2,0,0,1,0,0,0,yes,synthetic_v12 rear_knee_too_open
synth_v12_0009_side_first_step_too_short.mp4,first_step_too_short,side,6.6,0,0,0,0,1,0,yes,synthetic_v12 first_step_too_short
synth_v12_0010_side_first_step_overstride.mp4,first_step_overstride,side,6.6,0,0,0,0,1,0,yes,synthetic_v12 first_step_overstride
synth_v12_0011_side_lateral_drift.mp4,lateral_drift,side,6.6,0,0,0,0,1,0,yes,synthetic_v12 lateral_drift
synth_v12_0012_side_arms_crossing.mp4,arms_crossing,side,7.2,0,0,0,0,0,1,yes,synthetic_v12 arms_crossing
synth_v12_0013_side_head_lifts_early.mp4,head_lifts_early,side,9.0,0,0,0,0,0,0,yes,synthetic_v12 head_lifts_early
synth_v12_0014_side_bad_block_spacing.mp4,bad_block_spacing,side,6.2,0,1,1,0,0,0,yes,synthetic_v12 bad_block_spacing
synth_v12_0015_side_slow_exit.mp4,slow_exit,side,6.6,0,0,0,0,1,0,yes,synthetic_v12 slow_exit
synth_v12_0016_side_no_block_start_negative.mp4,no_block_start_negative,side,4.5,0,0,0,0,0,0,yes,synthetic_v12 no_block_start_negative
synth_v12_0017_side_standing_start_negative.mp4,standing_start_negative,side,4.5,0,0,0,0,0,0,yes,synthetic_v12 standing_start_negative
synth_v12_0018_side_partial_video.mp4,partial_video,side,4.5,0,0,0,0,0,0,yes,synthetic_v12 partial_video
synth_v12_0019_side_occlusion_low_confidence.mp4,occlusion_low_confidence,side,4.5,0,0,0,0,0,0,yes,synthetic_v12 occlusion_low_confidence
synth_v12_0020_side_left_good.mp4,good,side_left,9.0,0,0,0,0,0,0,yes,synthetic_v12 good
